H Mass Fractions
H 1 Msun, Z=0.0060 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 2.721E-28 & \\ 
 & Pd-106    & 8.564E-11 & \\ 
 & Pd-107    & 1.636E-11 & \\ 
 & Pd-108    & 9.149E-11 & \\ 
 & Pd-109    & 8.156E-19 & \\ 
 & Pd-110    & 6.259E-11 & \\ 
 & Pd-111    & 1.273E-26 & \\ 
 & Pd-112    & 3.038E-18 & \\ 
 & Ag-101    & 1.000E-99 & \\ 
 & Ag-102    & 1.000E-99 & \\ 
 & Ag-103    & 1.000E-99 & \\ 
 & Ag-104    & 1.000E-99 & \\ 
 & Ag-105    & 1.000E-99 & \\ 
 & Ag-106    & 1.000E-99 & \\ 
 & Ag-107    & 1.234E-12 & \\ 
 & Ag-108    & 3.117E-29 & \\ 
 & Ag-109    & 2.856E-11 & \\ 
 & Ag-110    & 3.582E-28 & \\ 
 & Ag-111    & 7.244E-15 & \\ 
 & Ag-112    & 3.835E-19 & \\ 
 & Ag-113    & 3.329E-22 & \\ 
 & Cd-102    & 1.000E-99 & \\ 
 & Cd-103    & 1.000E-99 & \\ 
 & Cd-104    & 1.000E-99 & \\ 
 & Cd-105    & 1.000E-99 & \\ 
 & Cd-106    & 1.015E-13 & \\ 
 & Cd-107    & 1.502E-25 & \\ 
 & Cd-108    & 1.573E-13 & \\ 
 & Cd-109    & 1.542E-14 & \\ 
 & Cd-110    & 3.532E-11 & \\ 
 & Cd-111    & 2.705E-11 & \\ 
 & Cd-112    & 9.687E-11 & \\ 
 & Cd-113    & 2.828E-11 & \\ 
 & Cd-114    & 1.266E-10 & \\ 
 & Cd-115    & 4.294E-12 & \\ 
 & Cd-116    & 1.366E-10 & \\ 
 & Cd-117    & 8.652E-23 & \\ 
 & Cd-118    & 8.707E-25 & \\ 
 & In-106    & 1.000E-99 & \\ 
 & In-107    & 1.000E-99 & \\ 
 & In-108    & 1.000E-99 & \\ 
 & In-109    & 1.000E-99 & \\ 
 & In-110    & 1.000E-99 & \\ 
 & In-111    & 1.000E-99 & \\ 
 & In-112    & 1.000E-99 & \\ 
 & In-113    & 4.300E-14 & \\ 
 & In-114    & 9.664E-32 & \\ 
 & In-115    & 3.979E-11 & \\ 
 & In-116    & 1.123E-28 & \\ 
 & In-117    & 3.552E-23 & \\ 
 & In-118    & 8.452E-26 & \\ 
 & In-119    & 1.084E-27 & \\ 
 & Sn-108    & 1.000E-99 & \\ 
 & Sn-109    & 1.000E-99 & \\ 
 & Sn-110    & 1.000E-99 & \\ 
 & Sn-111    & 1.000E-99 & \\ 
 & Sn-112    & 1.997E-13 & \\ 
 & Sn-113    & 6.575E-16 & \\ 
 & Sn-114    & 1.837E-13 & \\ 
 & Sn-115    & 9.709E-14 & \\ 
 & Sn-116    & 6.107E-11 & \\ 
 & Sn-117    & 5.116E-11 & \\ 
 & Sn-118    & 2.351E-10 & \\ 
 & Sn-119    & 7.263E-11 & \\ 
 & Sn-120    & 3.968E-10 & \\ 
 & Sn-121    & 1.189E-16 & \\ 
 & Sn-122    & 4.372E-10 & \\ 
 & Sn-123    & 1.357E-12 & \\ 
 & Sn-124    & 2.149E-10 & \\ 
