H Mass Fractions
H 1 Msun, Z=0.0100 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & Cd-103    & 0.000E+00 & \\ 
 & Cd-104    & 0.000E+00 & \\ 
 & Cd-105    & 0.000E+00 & \\ 
 & Cd-106    & 3.144E-11 & \\ 
 & Cd-107    & 0.000E+00 & \\ 
 & Cd-108    & 2.349E-11 & \\ 
 & Cd-109    & 0.000E+00 & \\ 
 & Cd-110    & 3.441E-10 & \\ 
 & Cd-111    & 3.432E-10 & \\ 
 & Cd-112    & 6.648E-10 & \\ 
 & Cd-113    & 3.344E-10 & \\ 
 & Cd-114    & 8.109E-10 & \\ 
 & Cd-115    & 0.000E+00 & \\ 
 & Cd-116    & 2.080E-10 & \\ 
 & Cd-117    & 0.000E+00 & \\ 
 & Cd-118    & 0.000E+00 & \\ 
 & In-106    & 0.000E+00 & \\ 
 & In-107    & 0.000E+00 & \\ 
 & In-108    & 0.000E+00 & \\ 
 & In-109    & 0.000E+00 & \\ 
 & In-110    & 0.000E+00 & \\ 
 & In-111    & 0.000E+00 & \\ 
 & In-112    & 0.000E+00 & \\ 
 & In-113    & 1.291E-11 & \\ 
 & In-114    & 0.000E+00 & \\ 
 & In-115    & 2.997E-10 & \\ 
 & In-116    & 0.000E+00 & \\ 
 & In-117    & 0.000E+00 & \\ 
 & In-118    & 0.000E+00 & \\ 
 & In-119    & 0.000E+00 & \\ 
 & Sn-108    & 0.000E+00 & \\ 
 & Sn-109    & 0.000E+00 & \\ 
 & Sn-110    & 0.000E+00 & \\ 
 & Sn-111    & 0.000E+00 & \\ 
 & Sn-112    & 6.052E-11 & \\ 
 & Sn-113    & 0.000E+00 & \\ 
 & Sn-114    & 4.198E-11 & \\ 
 & Sn-115    & 2.178E-11 & \\ 
 & Sn-116    & 9.800E-10 & \\ 
 & Sn-117    & 5.129E-10 & \\ 
 & Sn-118    & 1.650E-09 & \\ 
 & Sn-119    & 5.864E-10 & \\ 
 & Sn-120    & 2.264E-09 & \\ 
 & Sn-121    & 0.000E+00 & \\ 
 & Sn-122    & 3.195E-10 & \\ 
 & Sn-123    & 0.000E+00 & \\ 
 & Sn-124    & 4.020E-10 & \\ 
 & Sn-125    & 0.000E+00 & \\ 
 & Sn-126    & 1.644E-16 & \\ 
 & Sn-127    & 0.000E+00 & \\ 
 & Sn-128    & 0.000E+00 & \\ 
 & Sn-129    & 0.000E+00 & \\ 
 & Sn-130    & 0.000E+00 & \\ 
 & Sb-112    & 0.000E+00 & \\ 
 & Sb-113    & 0.000E+00 & \\ 
 & Sb-114    & 0.000E+00 & \\ 
 & Sb-115    & 0.000E+00 & \\ 
 & Sb-116    & 0.000E+00 & \\ 
 & Sb-117    & 0.000E+00 & \\ 
 & Sb-118    & 0.000E+00 & \\ 
 & Sb-119    & 0.000E+00 & \\ 
 & Sb-120    & 0.000E+00 & \\ 
 & Sb-121    & 3.199E-10 & \\ 
 & Sb-122    & 0.000E+00 & \\ 
 & Sb-123    & 2.389E-10 & \\ 
 & Sb-124    & 0.000E+00 & \\ 
 & Sb-125    & 7.446E-32 & \\ 
 & Sb-126    & 6.211E-23 & \\ 
 & Sb-127    & 0.000E+00 & \\ 
 & Sb-128    & 0.000E+00 & \\ 
 & Sb-129    & 0.000E+00 & \\ 
 & Sb-130    & 0.000E+00 & \\ 
 & Sb-131    & 0.000E+00 & \\ 
 & Sb-132    & 0.000E+00 & \\ 
 & Sb-133    & 0.000E+00 & \\ 
 & Te-114    & 0.000E+00 & \\ 
 & Te-115    & 0.000E+00 & \\ 
 & Te-116    & 0.000E+00 & \\ 
 & Te-117    & 0.000E+00 & \\ 
 & Te-118    & 0.000E+00 & \\ 
 & Te-119    & 0.000E+00 & \\ 
 & Te-120    & 8.064E-12 & \\ 
 & Te-121    & 0.000E+00 & \\ 
 & Te-122    & 2.335E-10 & \\ 
 & Te-123    & 8.214E-11 & \\ 
 & Te-124    & 4.413E-10 & \\ 
 & Te-125    & 6.326E-10 & \\ 
 & Te-126    & 1.719E-09 & \\ 
 & Te-127    & 0.000E+00 & \\ 
 & Te-128    & 2.856E-09 & \\ 
 & Te-129    & 0.000E+00 & \\ 
 & Te-130    & 3.097E-09 & \\ 
 & Te-131    & 0.000E+00 & \\ 
 & Te-132    & 0.000E+00 & \\ 
 & Te-133    & 0.000E+00 & \\ 
 & Te-134    & 0.000E+00 & \\ 
 & I-117     & 0.000E+00 & \\ 
 & I-118     & 0.000E+00 & \\ 
 & I-119     & 0.000E+00 & \\ 
 & I-120     & 0.000E+00 & \\ 
 & I-121     & 0.000E+00 & \\ 
 & I-122     & 0.000E+00 & \\ 
 & I-123     & 0.000E+00 & \\ 
 & I-124     & 0.000E+00 & \\ 
 & I-125     & 0.000E+00 & \\ 
 & I-126     & 0.000E+00 & \\ 
 & I-127     & 7.289E-10 & \\ 
 & I-128     & 0.000E+00 & \\ 
 & I-129     & 4.980E-13 & \\ 
 & I-130     & 0.000E+00 & \\ 
 & I-131     & 0.000E+00 & \\ 
 & I-132     & 0.000E+00 & \\ 
 & I-133     & 0.000E+00 & \\ 
 & I-134     & 0.000E+00 & \\ 
 & I-135     & 0.000E+00 & \\ 
 & Xe-118    & 0.000E+00 & \\ 
 & Xe-119    & 0.000E+00 & \\ 
 & Xe-120    & 0.000E+00 & \\ 
 & Xe-121    & 0.000E+00 & \\ 
 & Xe-122    & 0.000E+00 & \\ 
 & Xe-123    & 0.000E+00 & \\ 
 & Xe-124    & 1.094E-11 & \\ 
 & Xe-125    & 0.000E+00 & \\ 
 & Xe-126    & 9.659E-12 & \\ 
 & Xe-127    & 0.000E+00 & \\ 
 & Xe-128    & 2.107E-10 & \\ 
 & Xe-129    & 2.430E-09 & \\ 
 & Xe-130    & 4.312E-10 & \\ 
 & Xe-131    & 1.971E-09 & \\ 
 & Xe-132    & 2.466E-09 & \\ 
 & Xe-133    & 0.000E+00 & \\ 
 & Xe-134    & 8.930E-10 & \\ 
 & Xe-135    & 0.000E+00 & \\ 
 & Xe-136    & 7.391E-10 & \\ 
 & Xe-137    & 0.000E+00 & \\ 
 & Xe-138    & 0.000E+00 & \\ 
 & Cs-123    & 0.000E+00 & \\ 
 & Cs-124    & 0.000E+00 & \\ 
 & Cs-125    & 0.000E+00 & \\ 
 & Cs-126    & 0.000E+00 & \\ 
 & Cs-127    & 0.000E+00 & \\ 
 & Cs-128    & 0.000E+00 & \\ 
 & Cs-129    & 0.000E+00 & \\ 
 & Cs-130    & 0.000E+00 & \\ 
 & Cs-131    & 0.000E+00 & \\ 
 & Cs-132    & 0.000E+00 & \\ 
 & Cs-133    & 7.179E-10 & \\ 
 & Cs-134    & 0.000E+00 & \\ 
 & Cs-135    & 4.886E-12 & \\ 
 & Cs-136    & 0.000E+00 & \\ 
 & Cs-137    & 1.020E-15 & \\ 
 & Cs-138    & 0.000E+00 & \\ 
 & Cs-139    & 0.000E+00 & \\ 
 & Ba-124    & 0.000E+00 & \\ 
 & Ba-125    & 0.000E+00 & \\ 
 & Ba-126    & 0.000E+00 & \\ 
 & Ba-127    & 0.000E+00 & \\ 
 & Ba-128    & 0.000E+00 & \\ 
 & Ba-129    & 0.000E+00 & \\ 
 & Ba-130    & 8.984E-12 & \\ 
 & Ba-131    & 0.000E+00 & \\ 
 & Ba-132    & 8.730E-12 & \\ 
 & Ba-133    & 4.050E-26 & \\ 
 & Ba-134    & 2.401E-10 & \\ 
 & Ba-135    & 5.913E-10 & \\ 
 & Ba-136    & 7.715E-10 & \\ 
 & Ba-137    & 1.060E-09 & \\ 
 & Ba-138    & 7.030E-09 & \\ 
 & Ba-139    & 0.000E+00 & \\ 
 & Ba-140    & 0.000E+00 & \\ 
 & Ba-141    & 0.000E+00 & \\ 
 & Ba-142    & 0.000E+00 & \\ 
