H Mass Fractions
H 3 Msun, Z=0.0001 star
 & specie    & Surf Abu  & \\ 
 & Neutron-1 & 0.000E+00 & \\ 
 & Nb-94     & 7.294E-19 & \\ 
 & Nb-95     & 9.664E-30 & \\ 
 & Nb-96     & 1.000E-99 & \\ 
 & Nb-97     & 1.660E-35 & \\ 
 & Nb-98     & 1.000E-99 & \\ 
 & Nb-99     & 1.000E-99 & \\ 
 & Mo-90     & 1.000E-99 & \\ 
 & Mo-91     & 1.000E-99 & \\ 
 & Mo-92     & 1.000E-12 & \\ 
 & Mo-93     & 2.360E-17 & \\ 
 & Mo-94     & 6.373E-13 & \\ 
 & Mo-95     & 2.717E-11 & \\ 
 & Mo-96     & 3.253E-11 & \\ 
 & Mo-97     & 1.725E-11 & \\ 
 & Mo-98     & 5.074E-11 & \\ 
 & Mo-99     & 5.936E-33 & \\ 
 & Mo-100    & 6.974E-12 & \\ 
 & Mo-101    & 7.092E-38 & \\ 
 & Mo-102    & 1.000E-99 & \\ 
 & Tc-93     & 1.000E-99 & \\ 
 & Tc-94     & 1.000E-99 & \\ 
 & Tc-95     & 1.000E-99 & \\ 
 & Tc-96     & 1.000E-99 & \\ 
 & Tc-97     & 3.537E-18 & \\ 
 & Tc-98     & 4.242E-19 & \\ 
 & Tc-99     & 6.736E-12 & \\ 
 & Tc-100    & 1.000E-99 & \\ 
 & Tc-101    & 6.896E-38 & \\ 
 & Tc-102    & 1.000E-99 & \\ 
 & Tc-103    & 1.000E-99 & \\ 
 & Tc-104    & 1.000E-99 & \\ 
 & Tc-105    & 1.000E-99 & \\ 
 & Ru-94     & 1.000E-99 & \\ 
 & Ru-95     & 1.000E-99 & \\ 
 & Ru-96     & 2.890E-13 & \\ 
 & Ru-97     & 1.000E-99 & \\ 
 & Ru-98     & 9.949E-14 & \\ 
 & Ru-99     & 8.541E-13 & \\ 
 & Ru-100    & 2.086E-11 & \\ 
 & Ru-101    & 5.819E-12 & \\ 
 & Ru-102    & 3.051E-11 & \\ 
 & Ru-103    & 3.602E-33 & \\ 
 & Ru-104    & 4.948E-12 & \\ 
 & Ru-105    & 5.464E-36 & \\ 
 & Ru-106    & 5.895E-19 & \\ 
 & Rh-98     & 1.000E-99 & \\ 
 & Rh-99     & 1.000E-99 & \\ 
 & Rh-100    & 1.000E-99 & \\ 
 & Rh-101    & 1.000E-99 & \\ 
 & Rh-102    & 1.000E-99 & \\ 
 & Rh-103    & 6.259E-12 & \\ 
 & Rh-104    & 5.776E-41 & \\ 
 & Rh-105    & 1.948E-34 & \\ 
 & Rh-106    & 5.359E-25 & \\ 
 & Rh-107    & 1.000E-99 & \\ 
 & Rh-108    & 1.000E-99 & \\ 
 & Pd-99     & 1.000E-99 & \\ 
 & Pd-100    & 1.000E-99 & \\ 
 & Pd-101    & 1.000E-99 & \\ 
 & Pd-102    & 4.189E-14 & \\ 
 & Pd-103    & 3.202E-41 & \\ 
 & Pd-104    & 1.376E-11 & \\ 
 & Pd-105    & 4.830E-12 & \\ 
